,State,act2017_participation,act2017_english,act2017_math,act2017_reading,act2017_science,act2017_composite,sat2017_participation,sat2017_reading,sat2017_math,sat2017_total,sat2018_participation,sat2018_reading,sat2018_math,sat2018_total,act2018_participation,act2018_composite,act2018_english,act2018_math,act2018_reading,act2018_science,act_change_participation,sat_change_participation,act_change_composite,sat_change_total,abbrev,party,enrollment_size_2018
0,Alabama,1.0,18.9,18.4,19.7,19.4,19.2,0.05,593,572,1165,0.06,595,571,1166,1.0,19.1,18.9,18.3,19.6,19.0,0.0,0.9999999999999996,-0.09999999999999787,1,AL,Republican,737200
1,Alaska,0.65,18.7,19.8,20.4,19.9,19.8,0.38,547,533,1080,0.43,562,544,1106,0.33,20.8,19.8,20.6,21.6,20.7,-32.0,4.999999999999999,1.0,26,AK,Republican,133200
2,Arizona,0.62,18.6,19.8,20.1,19.8,19.7,0.3,563,553,1116,0.29,577,572,1149,0.66,19.2,18.2,19.4,19.5,19.2,4.0000000000000036,-1.0000000000000009,-0.5,33,AZ,Republican,1111000
3,Arkansas,1.0,18.9,19.0,19.7,19.5,19.4,0.03,614,594,1208,0.05,592,576,1169,1.0,19.4,19.1,18.9,19.7,19.4,0.0,2.0000000000000004,0.0,-39,AR,Republican,496100
4,California,0.31,22.5,22.7,23.1,22.2,22.8,0.53,531,524,1055,0.6,540,536,1076,0.27,22.7,22.5,22.5,23.0,22.1,-3.9999999999999982,6.999999999999995,-0.10000000000000142,21,CA,Republican,6285300
5,Colorado,1.0,20.1,20.3,21.2,20.9,20.8,0.11,606,595,1201,1.0,519,506,1025,0.3,23.9,23.9,23.2,24.4,23.5,-70.0,89.0,3.099999999999998,-176,CO,Democrat,912600
6,Connecticut,0.31,25.5,24.6,25.6,24.6,25.2,1.0,530,512,1041,1.0,535,519,1053,0.26,25.6,26.0,24.8,26.1,24.9,-4.999999999999999,0.0,0.40000000000000213,12,CT,Republican,524300
7,Delaware,0.18,24.1,23.4,24.8,23.6,24.1,1.0,503,492,996,1.0,505,492,998,0.17,23.2,23.7,23.1,24.5,23.4,-0.9999999999999981,0.0,-0.9000000000000021,2,DE,Republican,136900
8,District of Columbia,0.32,24.4,23.5,24.9,23.5,24.2,1.0,482,468,950,0.92,497,480,977,0.32,23.6,23.7,22.7,24.4,23.0,0.0,-7.9999999999999964,-0.5999999999999979,27,DC,Democrat,87200
9,Florida,0.73,19.0,19.4,21.0,19.4,19.8,0.83,520,497,1017,0.56,550,549,1099,0.66,19.9,19.2,19.3,21.1,19.5,-6.999999999999995,-26.99999999999999,0.09999999999999787,82,FL,Republican,2849400
10,Georgia,0.55,21.0,20.9,22.0,21.3,21.4,0.61,535,515,1050,0.7,542,522,1064,0.53,21.4,20.9,20.7,21.2,21.4,-2.0000000000000018,8.999999999999996,0.0,14,GA,Republican,1767200
11,Hawaii,0.9,17.8,19.2,19.2,19.3,19.0,0.55,544,541,1085,0.56,480,530,1010,0.89,18.9,18.2,19.0,19.1,19.0,-1.0000000000000009,1.0000000000000009,-0.10000000000000142,-75,HI,Republican,180600
12,Idaho,0.38,21.9,21.8,23.0,22.1,22.3,0.93,513,493,1005,1.0,508,493,1001,0.36,22.3,21.9,21.6,23.2,22.1,-2.0000000000000018,6.999999999999995,0.0,-4,ID,Republican,303500
13,Illinois,0.93,21.0,21.2,21.6,21.3,21.4,0.09,559,556,1115,0.99,513,506,1019,0.43,23.9,24.1,23.4,24.2,23.4,-50.0,90.0,2.5,-96,IL,Republican,2000200
14,Indiana,0.35,22.0,22.4,23.2,22.3,22.6,0.63,542,532,1074,0.63,542,532,1074,0.32,22.5,21.9,22.3,23.1,22.2,-2.9999999999999973,0.0,-0.10000000000000142,0,IN,Republican,1053400
15,Iowa,0.67,21.2,21.3,22.6,22.1,21.9,0.02,641,635,1275,0.03,634,631,1265,0.68,21.8,21.0,21.2,22.5,22.0,1.0000000000000009,0.9999999999999999,-0.09999999999999787,-10,IA,Republican,511700
