date,species,trap,latitude,longitude,wnvpresent,nummosquitos,year,month,day
2007-05-29,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,0,1,2007,05,29
2007-05-29,CULEX RESTUANS,T048,41.867108,-87.654224,0,2,2007,05,29
2007-05-29,CULEX RESTUANS,T091,41.862292,-87.64886,0,1,2007,05,29
2007-05-29,CULEX RESTUANS,T049,41.896282,-87.655232,0,1,2007,05,29
2007-05-29,CULEX RESTUANS,T153,41.907645,-87.760886,0,1,2007,05,29
2007-05-29,CULEX RESTUANS,T045,41.9216,-87.666455,0,2,2007,05,29
2007-05-29,CULEX RESTUANS,T094,41.720848,-87.666014,0,3,2007,05,29
2007-05-29,CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,0,1,2007,05,29
2007-05-29,CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,0,2,2007,05,29
2007-05-29,CULEX RESTUANS,T054,41.921965,-87.632085,0,3,2007,05,29
2007-05-29,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,0,1,2007,05,29
2007-05-29,CULEX RESTUANS,T086,41.688324,-87.676709,0,1,2007,05,29
2007-05-29,CULEX PIPIENS,T096,41.731922,-87.677512,0,1,2007,05,29
2007-05-29,CULEX RESTUANS,T096,41.731922,-87.677512,0,5,2007,05,29
2007-05-29,CULEX RESTUANS,T046,41.891118,-87.65449100000001,0,1,2007,05,29
2007-05-29,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,0,1,2007,05,29
2007-05-29,CULEX RESTUANS,T002,41.95469,-87.800991,0,1,2007,05,29
2007-05-29,CULEX RESTUANS,T007,41.994991,-87.769279,0,1,2007,05,29
2007-05-29,CULEX PIPIENS/RESTUANS,T143,41.999128999999996,-87.795585,0,1,2007,05,29
2007-05-29,CULEX PIPIENS/RESTUANS,T148,42.01743,-87.68776899999999,0,1,2007,05,29
2007-05-29,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,0,1,2007,05,29
2007-05-29,CULEX RESTUANS,T015,41.974089,-87.824812,0,4,2007,05,29
