date,station_1,tmax_1,tmin_1,tavg_1,depart_1,dewpoint_1,wetbulb_1,heat_1,cool_1,sunrise_1,sunset_1,preciptotal_1,stnpressure_1,sealevel_1,resultspeed_1,resultdir_1,avgspeed_1,year,month,day,station_2,tmax_2,tmin_2,tavg_2,depart_2,dewpoint_2,wetbulb_2,heat_2,cool_2,sunrise_2,sunset_2,preciptotal_2,stnpressure_2,sealevel_2,resultspeed_2,resultdir_2,avgspeed_2,precip_avg,14day_precip,28day_precip,90day_precip,temp_avg,14day_tavg,28day_tavg,90day_tavg,tmin_avg,14day_tmin,28day_tmin,tmax_avg,14day_tmax,28day_tmax,dew_avg,14day_dew,28day_dew
2007-05-01,1,83,50,67.0,14.0,51,56.0,0.0,2.0,448.0,1849.0,0.0,29.1,29.82,1.7,27,9.2,2007,5,1,2,84,52,68.0,15.0,51,57.0,0.0,3.0,448.0,1849.0,0.0,29.18,29.82,2.7,25,9.6,0.0,0.0,0.0,0.0,67.5,67.5,67.5,67.5,51.0,51.0,51.0,83.5,83.5,83.5,51.0,51.0,51.0
2007-05-02,1,59,42,51.0,-3.0,42,47.0,14.0,0.0,447.0,1850.0,0.0,29.38,30.09,13.0,4,13.4,2007,5,2,2,60,43,52.0,-2.0,42,47.0,13.0,0.0,447.0,1850.0,0.0,29.44,30.08,13.3,2,13.4,0.0,0.0,0.0,0.0,51.5,59.5,59.5,59.5,42.5,42.5,42.5,59.5,83.5,83.5,42.0,46.5,46.5
2007-05-03,1,66,46,56.0,2.0,40,48.0,9.0,0.0,446.0,1851.0,0.0,29.39,30.12,11.7,7,11.9,2007,5,3,2,67,48,58.0,4.0,40,50.0,7.0,0.0,446.0,1851.0,0.0,29.46,30.12,12.9,6,13.2,0.0,0.0,0.0,0.0,57.0,58.666666666666664,58.666666666666664,58.666666666666664,47.0,42.5,42.5,66.5,83.5,83.5,40.0,44.333333333333336,44.333333333333336
2007-05-04,1,66,49,58.0,4.0,41,50.0,7.0,0.0,444.0,1852.0,0.0,29.31,30.05,10.4,8,10.8,2007,5,4,2,78,51,64.5,10.5,42,50.0,7.0,0.0,444.0,1852.0,0.0,29.36,30.04,10.1,7,10.4,0.0,0.0,0.0,0.0,61.25,59.3125,59.3125,59.3125,50.0,42.5,42.5,72.0,83.5,83.5,41.5,43.625,43.625
2007-05-05,1,66,53,60.0,5.0,38,49.0,5.0,0.0,443.0,1853.0,0.0,29.4,30.1,11.7,7,12.0,2007,5,5,2,66,54,60.0,5.0,39,50.0,5.0,0.0,443.0,1853.0,0.0,29.46,30.09,11.2,7,11.5,0.0,0.0,0.0,0.0,60.0,59.45,59.45,59.45,53.5,42.5,42.5,66.0,83.5,83.5,38.5,42.6,42.6
2007-05-06,1,68,49,59.0,4.0,30,46.0,6.0,0.0,442.0,1855.0,0.0,29.57,30.29,14.4,11,15.0,2007,5,6,2,68,52,60.0,5.0,30,46.0,5.0,0.0,442.0,1855.0,0.0,29.62,30.28,13.8,10,14.5,0.0,0.0,0.0,0.0,59.5,59.458333333333336,59.458333333333336,59.458333333333336,50.5,42.5,42.5,68.0,83.5,83.5,30.0,40.5,40.5
2007-05-07,1,83,47,65.0,10.0,41,54.0,0.0,0.0,441.0,1856.0,0.0,29.38,30.12,8.6,18,10.5,2007,5,7,2,84,50,67.0,12.0,39,53.0,0.0,2.0,441.0,1856.0,0.0,29.44,30.12,8.5,17,9.9,0.0,0.0,0.0,0.0,66.0,60.392857142857146,60.392857142857146,60.392857142857146,48.5,42.5,42.5,83.5,83.5,83.5,40.0,40.42857142857143,40.42857142857143
2007-05-08,1,82,54,68.0,12.0,58,62.0,0.0,3.0,439.0,1857.0,0.0,29.29,30.03,2.7,11,5.8,2007,5,8,2,80,60,70.0,14.0,57,63.0,0.0,5.0,439.0,1857.0,0.0,29.36,30.02,2.5,8,5.4,0.0,0.0,0.0,0.0,69.0,61.46875,61.46875,61.46875,57.0,42.5,42.5,81.0,83.5,83.5,57.5,42.5625,42.5625
2007-05-09,1,77,61,69.0,13.0,59,63.0,0.0,4.0,438.0,1858.0,0.13,29.21,29.94,3.9,9,6.2,2007,5,9,2,76,63,70.0,14.0,60,63.0,0.0,5.0,438.0,1858.0,0.02,29.28,29.93,3.9,7,5.9,0.075,0.075,0.075,0.075,69.5,62.361111111111114,62.361111111111114,62.361111111111114,62.0,42.5,42.5,76.5,83.5,83.5,59.5,44.44444444444444,44.44444444444444
2007-05-10,1,84,56,70.0,14.0,52,60.0,0.0,5.0,437.0,1859.0,0.0,29.2,29.92,0.7,17,4.1,2007,5,10,2,83,59,71.0,15.0,52,61.0,0.0,6.0,437.0,1859.0,0.0,29.26,29.91,2.0,9,3.9,0.0,0.075,0.075,0.075,70.5,63.175,63.175,63.175,57.5,42.5,42.5,83.5,83.5,83.5,52.0,45.2,45.2
2007-05-11,1,70,51,61.0,4.0,42,51.0,4.0,0.0,436.0,1860.0,0.0,29.33,30.04,11.3,3,12.9,2007,5,11,2,73,49,61.0,4.0,44,51.0,4.0,0.0,436.0,1860.0,0.0,29.39,30.03,11.7,36,12.8,0.0,0.075,0.075,0.075,61.0,62.97727272727273,62.97727272727273,62.97727272727273,50.0,42.5,42.5,71.5,83.5,83.5,43.0,45.0,45.0
2007-05-12,1,64,46,55.0,-2.0,36,46.0,10.0,0.0,435.0,1901.0,0.0,29.49,30.2,12.4,3,12.9,2007,5,12,2,65,47,56.0,-1.0,37,46.0,9.0,0.0,435.0,1901.0,0.0,29.54,30.19,12.7,1,13.0,0.0,0.075,0.075,0.075,55.5,62.354166666666664,62.354166666666664,62.354166666666664,46.5,42.5,42.5,64.5,83.5,83.5,36.5,44.291666666666664,44.291666666666664
